*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=pcb mini - GND
*Date=22:05:47
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
231;;;42.8244;-17.7476;0;Bottom;Copper Fill134
232;;5 mm [THT];13.758;-91.0508;0;Bottom;CORTE
233;;;29.6164;-6.6859;0;Bottom;Copper Fill104
234;;;119.38;-62.4643;0;Bottom;Copper Fill177
235;;;16.7005;-52.9012;0;Bottom;Copper Fill232
236;;;105.093;-61.5372;0;Bottom;Copper Fill53
237;220;THT;8.67811;-77.6598;90;Bottom;R2
238;;;5.1816;-26.9043;0;Bottom;Copper Fill118
239;;;22.1742;-59.9243;0;Bottom;Copper Fill129
240;;;104.14;-62.4643;0;Bottom;Copper Fill54
241;;;58.6232;-39.6043;0;Bottom;Copper Fill138
242;;;28.9433;-93.6936;0;Bottom;Copper Fill196
243;;;75.5142;-26.9043;0;Bottom;Copper Fill162
244;;;39.1414;-24.3262;0;Bottom;Copper Fill26
245;;;6.13812;-49.7198;0;Top;Pad4
246;;;41.6433;-38.8296;0;Bottom;Copper Fill126
247;;;73.8124;-57.3843;0;Bottom;Copper Fill150
248;;;6.985;-26.9043;0;Bottom;Copper Fill119
249;;;6.0833;-93.6936;0;Bottom;Copper Fill205
250;;;36.5633;-93.6936;0;Bottom;Copper Fill193
251;10k;THT;26.4581;-59.8798;0;Bottom;D1
252;;;88.9;-59.9243;0;Bottom;Copper Fill34
253;;;135.623;-68.1412;0;Bottom;Copper Fill179
254;10k;THT;69.6381;-54.7998;0;Bottom;A2
255;;;124.562;-6.5843;0;Bottom;Copper Fill85
256;;;30.607;-6.6859;0;Bottom;Copper Fill211
257;;;51.8033;-93.6428;0;Bottom;Copper Fill174
258;;;106.02;-62.4643;0;Bottom;Copper Fill55
259;;;59.4614;-56.0762;0;Bottom;Copper Fill10
260;;;73.8124;-16.7443;0;Bottom;Copper Fill194
261;;;120.955;-67.5443;0;Bottom;Copper Fill166
262;;;57.4548;-72.6243;0;Bottom;Copper Fill49
263;;;59.4868;-26.8662;0;Bottom;Copper Fill25
264;;;141.668;-79.114;0;Bottom;Copper Fill76
265;;THT;2.50821;-14.1788;180;Bottom;Sensor voltaje
266;;;134.62;-62.4643;0;Bottom;Copper Fill62
267;;;6.0833;-10.7626;0;Bottom;Copper Fill216
268;;;90.7796;-59.9243;0;Bottom;Copper Fill141
269;10k;THT;69.6381;-62.4198;0;Bottom;A5
270;;;40.8432;-39.6043;0;Bottom;Copper Fill236
271;;;59.1566;-72.6243;0;Bottom;Copper Fill155
272;;;39.1414;-52.2662;0;Bottom;Copper Fill12
273;;;75.5142;-21.8243;0;Bottom;Copper Fill72
274;;;6.0833;-93.6936;0;Bottom;Copper Fill100
275;100nF;100 mil [THT, multilayer];41.6981;-40.8298;-90;Bottom;100nF
276;220;THT;18.8381;-77.6598;90;Bottom;R4
277;;;120.332;-63.4168;0;Bottom;Copper Fill175
278;220;THT;6.13811;-77.6598;90;Bottom;R1
279;;;26.4581;-3.99989;0;Top;Pad2
280;;;5.1816;-26.9043;0;Bottom;Copper Fill225
281;;;20.4724;-59.9243;0;Bottom;Copper Fill243
282;;;75.5142;-24.3643;0;Bottom;Copper Fill173
283;;;73.8124;-26.9043;0;Bottom;Copper Fill161
284;;;160.122;-92.9443;0;Bottom;Copper Fill96
285;;;51.054;-92.8935;0;Bottom;Copper Fill67
286;10k;THT;13.7581;-9.07979;90;Bottom;10k
287;;;73.8124;-24.3643;0;Bottom;Copper Fill64
288;;;73.8124;-26.9043;0;Bottom;Copper Fill51
289;;;13.7033;-4.8952;0;Bottom;Copper Fill207
290;;;64.5033;-89.528;0;Bottom;Copper Fill40
291;;;126.365;-6.5843;0;Bottom;Copper Fill86
292;;5 mm [THT];21.378;-91.0508;0;Bottom;STARTING
293;;;20.574;-92.9443;0;Bottom;Copper Fill93
294;;;105.093;-61.5372;0;Bottom;Copper Fill169
295;;;22.1742;-52.3043;0;Bottom;Copper Fill234
296;;5 mm [THT];51.858;-91.011;0;Bottom;FALLO
297;;;89.3318;-67.5443;0;Bottom;Copper Fill37
298;;;58.3057;-71.7988;0;Bottom;Copper Fill153
299;;;16.764;-50.5136;0;Bottom;Via11
300;;;22.1742;-24.3643;0;Bottom;Copper Fill223
301;;;72.1614;-53.5362;0;Bottom;Copper Fill6
302;10k;THT;26.4581;-24.3198;0;Bottom;D5
303;10k;THT;69.6381;-49.7198;0;Bottom;A0
304;;;41.6433;-38.8296;0;Bottom;Copper Fill235
305;;;73.8124;-57.3843;0;Bottom;Copper Fill42
306;;;12.954;-92.9443;0;Bottom;Copper Fill98
307;;;73.8124;-21.8243;0;Bottom;Copper Fill71
308;;;70.4197;-6.24187;0;Bottom;IMG1
309;;;73.8124;-59.9243;0;Bottom;Copper Fill38
310;;;51.8033;-71.7988;0;Bottom;Copper Fill152
311;;;14.5542;-4.0443;0;Bottom;Copper Fill106
312;;;65.3796;-90.4043;0;Bottom;Copper Fill41
313;;;75.5142;-57.3843;0;Bottom;Copper Fill151
314;;;73.8124;-21.8243;0;Bottom;Copper Fill187
315;;;59.4614;-58.6162;0;Bottom;Copper Fill8
316;;;39.1414;-26.8662;0;Bottom;Copper Fill24
317;;;6.0833;-26.0026;0;Bottom;Copper Fill117
318;;;44.1833;-93.6936;0;Bottom;Copper Fill189
319;;;104.14;-62.4643;0;Bottom;Copper Fill170
320;;;75.5142;-21.8243;0;Bottom;Copper Fill188
321;;;90.7796;-59.9243;0;Bottom;Copper Fill35
322;;;4.0894;-49.7643;0;Bottom;Copper Fill229
323;10k;THT;69.6381;-52.2598;0;Bottom;A1
324;;;59.4868;-29.4062;0;Bottom;Copper Fill23
325;;;13.7033;-93.6936;0;Bottom;Copper Fill203
326;;;51.8033;-93.6428;0;Bottom;Copper Fill66
327;;;135.623;-66.9728;0;Bottom;Copper Fill180
