*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=pcb GND
*Date=02:42:52
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
293;;;33.528;-39.4223;0;Bottom;Copper Fill179
294;;;94.488;-80.0623;0;Bottom;Copper Fill167
295;;;136.881;-98.744;0;Bottom;Copper Fill126
296;;;33.528;-77.5223;0;Bottom;Copper Fill203
297;;;54.7624;-57.2023;0;Bottom;Copper Fill163
298;;;133.68;-80.0623;0;Bottom;Copper Fill63
299;;;94.488;-39.4223;0;Bottom;Copper Fill32
300;;;9.0932;-110.492;0;Bottom;Copper Fill238
301;100nF;100 mil [THT, multilayer];55.5944;-58.412;-90;Bottom;100nF
302;;;33.528;-36.8823;0;Bottom;Copper Fill61
303;10k;THT;88.6144;-77.462;0;Bottom;A3
304;;;22.5425;-69.788;0;Bottom;Copper Fill170
305;220;THT;35.2744;-95.242;90;Bottom;R6
306;;;41.7068;-39.8414;0;Bottom;Copper Fill17
307;;;20.0025;-19.9532;0;Bottom;Copper Fill79
308;;;162.154;-92.4194;0;Bottom;Copper Fill125
309;;;180.823;-105.462;0;Bottom;Copper Fill123
310;10k;THT;88.6144;-36.822;0;Bottom;D10
311;;300 mil [THT];130.499;-69.842;0;Bottom;diode2
312;;;119.634;-80.0623;0;Bottom;Copper Fill52
313;;;66.8401;-91.9114;0;Bottom;Copper Fill205
314;;;118.059;-69.9023;0;Bottom;Copper Fill57
315;;;118.059;-69.9023;0;Bottom;Copper Fill184
316;;5 mm [THT];20.0344;-108.593;0;Bottom;CORTE
317;;;133.274;-69.9023;0;Bottom;Copper Fill195
318;;;190.132;-3.9766;0;Bottom;Copper Fill229
319;;;40.3225;-111.241;0;Bottom;Copper Fill99
320;;;191.77;-26.7223;0;Bottom;Copper Fill104
321;220;THT;25.1144;-95.242;90;Bottom;R4
322;;;164.732;-79.4908;0;Bottom;Copper Fill212
323;10k;THT;88.6144;-44.442;0;Bottom;D13
324;;;46.2788;-78.6526;0;Bottom;Copper Fill135
325;10k;THT;88.6144;-34.282;0;Bottom;D9
326;;;29.4132;-110.492;0;Bottom;Copper Fill107
327;;;96.5962;-92.7623;0;Bottom;Copper Fill171
328;;;94.488;-82.6023;0;Bottom;Copper Fill169
329;220;THT;40.3544;-95.242;90;Bottom;R7
330;;;149.441;-70.8548;0;Bottom;Copper Fill207
331;;;94.488;-36.8823;0;Bottom;Copper Fill31
332;;;10.7188;-44.5023;0;Bottom;Copper Fill110
333;10k;THT;88.6144;-80.002;0;Bottom;A4
334;;;165.329;-80.0623;0;Bottom;Copper Fill213
